,onsets,musician,trial,factor1,factor2
0,4.066791667,Cello,1,same,Drum
1,4.7975,Cello,1,same,Drum
2,5.541520833,Cello,1,same,Drum
3,6.245333333,Cello,1,same,Drum
4,7.021583333,Cello,1,same,Drum
5,7.812104167,Cello,1,same,Drum
6,8.5379375,Cello,1,same,Drum
7,9.2909375,Cello,1,same,Drum
8,10.030625,Cello,1,same,Drum
9,10.784979167,Cello,1,same,Drum
10,11.5204375,Cello,1,same,Drum
11,12.237916667,Cello,1,same,Drum
12,13.028770833,Cello,1,same,Drum
13,13.798666667,Cello,1,same,Drum
14,14.5390625,Cello,1,same,Drum
15,15.27075,Cello,1,same,Drum
16,16.001604167,Cello,1,same,Drum
17,16.755895833,Cello,1,same,Drum
18,17.502020833,Cello,1,same,Drum
19,18.265729167,Cello,1,same,Drum
20,19.05625,Cello,1,same,Drum
21,19.784583333,Cello,1,same,Drum
22,20.528333333,Cello,1,same,Drum
23,21.359145833,Cello,1,same,Drum
24,22.056208333,Cello,1,same,Drum
25,22.853416667,Cello,1,same,Drum
26,23.5628125,Cello,1,same,Drum
27,24.2929375,Cello,1,same,Drum
28,25.046666667,Cello,1,same,Drum
29,25.8104375,Cello,1,same,Drum
30,26.539416667,Cello,1,same,Drum
31,27.298958333,Cello,1,same,Drum
32,28.022083333,Cello,1,same,Drum
33,28.796229167,Cello,1,same,Drum
34,29.528895833,Cello,1,same,Drum
35,30.2876875,Cello,1,same,Drum
36,31.022791667,Cello,1,same,Drum
37,31.786333333,Cello,1,same,Drum
38,32.519208333,Cello,1,same,Drum
39,33.26775,Cello,1,same,Drum
40,34.036020833,Cello,1,same,Drum
41,34.792083333,Cello,1,same,Drum
42,35.565645833,Cello,1,same,Drum
43,36.289625,Cello,1,same,Drum
44,37.044625,Cello,1,same,Drum
45,37.825083333,Cello,1,same,Drum
46,38.549791667,Cello,1,same,Drum
47,39.298541667,Cello,1,same,Drum
48,40.062916667,Cello,1,same,Drum
49,40.8284375,Cello,1,same,Drum
50,41.5824375,Cello,1,same,Drum
51,42.328291667,Cello,1,same,Drum
52,43.094416667,Cello,1,same,Drum
53,43.81875,Cello,1,same,Drum
54,44.560395833,Cello,1,same,Drum
55,45.29,Cello,1,same,Drum
56,4.098625,Drum,1,same,Drum
57,4.783729167,Drum,1,same,Drum
58,5.535708333,Drum,1,same,Drum
59,6.317520833,Drum,1,same,Drum
60,7.078770833,Drum,1,same,Drum
61,7.843875,Drum,1,same,Drum
62,8.5650625,Drum,1,same,Drum
63,9.2924375,Drum,1,same,Drum
64,10.05,Drum,1,same,Drum
65,10.740395833,Drum,1,same,Drum
66,11.515333333,Drum,1,same,Drum
67,12.2743125,Drum,1,same,Drum
68,13.082395833,Drum,1,same,Drum
69,13.798625,Drum,1,same,Drum
70,14.5605,Drum,1,same,Drum
71,15.245541667,Drum,1,same,Drum
72,16.032729167,Drum,1,same,Drum
73,16.778770833,Drum,1,same,Drum
74,17.5438125,Drum,1,same,Drum
75,18.292229167,Drum,1,same,Drum
76,19.030291667,Drum,1,same,Drum
77,19.806208333,Drum,1,same,Drum
78,20.604604167,Drum,1,same,Drum
79,21.3410625,Drum,1,same,Drum
80,22.077770833,Drum,1,same,Drum
81,22.8524375,Drum,1,same,Drum
82,23.552645833,Drum,1,same,Drum
83,24.346,Drum,1,same,Drum
84,25.064,Drum,1,same,Drum
85,25.804,Drum,1,same,Drum
86,26.51,Drum,1,same,Drum
87,27.254,Drum,1,same,Drum
88,28.0205625,Drum,1,same,Drum
89,28.767791667,Drum,1,same,Drum
90,29.520083333,Drum,1,same,Drum
91,30.264666667,Drum,1,same,Drum
92,31.019291667,Drum,1,same,Drum
93,31.784458333,Drum,1,same,Drum
94,32.533333333,Drum,1,same,Drum
95,33.28,Drum,1,same,Drum
96,34.038666667,Drum,1,same,Drum
97,34.788604167,Drum,1,same,Drum
98,35.524229167,Drum,1,same,Drum
99,36.294208333,Drum,1,same,Drum
100,37.074666667,Drum,1,same,Drum
101,37.801333333,Drum,1,same,Drum
102,38.563333333,Drum,1,same,Drum
103,39.330666667,Drum,1,same,Drum
104,40.084,Drum,1,same,Drum
105,40.816416667,Drum,1,same,Drum
106,41.577333333,Drum,1,same,Drum
107,42.320895833,Drum,1,same,Drum
108,43.066375,Drum,1,same,Drum
109,43.819354167,Drum,1,same,Drum
110,44.554666667,Drum,1,same,Drum
111,45.282666667,Drum,1,same,Drum
112,4.04,Piano,1,same,Drum
113,4.79,Piano,1,same,Drum
114,5.51,Piano,1,same,Drum
115,6.27,Piano,1,same,Drum
116,7.04,Piano,1,same,Drum
117,7.77,Piano,1,same,Drum
118,8.56,Piano,1,same,Drum
119,9.29,Piano,1,same,Drum
120,10.03,Piano,1,same,Drum
121,10.8,Piano,1,same,Drum
122,11.53,Piano,1,same,Drum
123,12.26,Piano,1,same,Drum
124,13.0,Piano,1,same,Drum
125,13.77,Piano,1,same,Drum
126,14.55,Piano,1,same,Drum
127,15.29,Piano,1,same,Drum
128,16.04,Piano,1,same,Drum
129,16.78,Piano,1,same,Drum
130,17.53,Piano,1,same,Drum
131,18.33,Piano,1,same,Drum
132,19.12,Piano,1,same,Drum
133,19.84,Piano,1,same,Drum
134,20.61,Piano,1,same,Drum
135,21.36,Piano,1,same,Drum
136,22.09,Piano,1,same,Drum
137,22.79,Piano,1,same,Drum
138,23.6,Piano,1,same,Drum
139,24.36,Piano,1,same,Drum
140,25.228,Piano,1,same,Drum
141,25.83,Piano,1,same,Drum
142,26.56,Piano,1,same,Drum
143,27.31,Piano,1,same,Drum
144,28.05,Piano,1,same,Drum
145,28.8,Piano,1,same,Drum
146,29.53,Piano,1,same,Drum
147,30.28,Piano,1,same,Drum
148,31.03,Piano,1,same,Drum
149,31.77,Piano,1,same,Drum
150,32.53,Piano,1,same,Drum
151,33.27,Piano,1,same,Drum
152,34.04,Piano,1,same,Drum
153,34.77,Piano,1,same,Drum
154,35.53,Piano,1,same,Drum
155,36.3,Piano,1,same,Drum
156,37.06,Piano,1,same,Drum
157,37.81,Piano,1,same,Drum
158,38.55,Piano,1,same,Drum
159,39.32,Piano,1,same,Drum
160,40.09,Piano,1,same,Drum
161,40.84,Piano,1,same,Drum
162,41.58,Piano,1,same,Drum
163,42.3,Piano,1,same,Drum
164,43.06,Piano,1,same,Drum
165,43.78,Piano,1,same,Drum
166,44.53,Piano,1,same,Drum
167,45.26,Piano,1,same,Drum
168,46.06,Piano,1,same,Drum
169,4.064958333,Sax,1,same,Drum
170,4.8100625,Sax,1,same,Drum
171,5.498166667,Sax,1,same,Drum
172,6.301979167,Sax,1,same,Drum
173,7.063666667,Sax,1,same,Drum
174,7.824583333,Sax,1,same,Drum
175,8.539125,Sax,1,same,Drum
176,9.306,Sax,1,same,Drum
177,10.029229167,Sax,1,same,Drum
178,10.761166667,Sax,1,same,Drum
179,11.521229167,Sax,1,same,Drum
180,12.271458333,Sax,1,same,Drum
181,13.013,Sax,1,same,Drum
