,cc,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
0,0.8164132179792138,0.9252378255843019,1.3671875,0.10230081284630001,0.035732901395821096,0.7491539855769231,-0.0010618509615385463,0.015771023477871345,-0.0025490432305726946,0.0004253413074956022,0.8125559404122173,0,1,Cello,leg,same,No
1,0.08784989924131044,0.5753478325836684,5.2734375,0.10718455696007939,0.009294170005255776,0.7491539855769231,-0.0010618509615385463,0.015771023477871345,-0.0025490432305726946,0.0004253413074956022,0.140415372947647,-9,1,Cello,head,same,No
2,0.31983202160605967,0.6985082555104092,1.3671875,0.0535080089323485,0.006226834550731205,0.7491933308823528,-0.0004980563725489606,0.012076099117075426,-0.0016479310064234094,0.0006518182613254881,0.3449151597560326,5,1,Drum,leg,same,No
3,0.23985438782012244,0.4116165433907224,1.3671875,0.08180167771577548,0.012219522655169039,0.7491933308823528,-0.0004980563725489606,0.012076099117075426,-0.0016479310064234094,0.0006518182613254881,0.28571586978035346,7,1,Drum,head,same,No
4,0.19246340350803742,0.48316096754348664,2.734375,0.06986352699401263,0.009298640077750324,0.7497499215686273,0.0003031764705884438,0.02144996091705811,-0.001739268338534381,0.0023456212797112685,0.19066083846547294,0,1,Piano,leg,same,No
5,0.28555504739652404,0.4744553192758909,1.3671875,0.047109387353332484,0.004690174246819849,0.7497499215686273,0.0003031764705884438,0.02144996091705811,-0.001739268338534381,0.0023456212797112685,0.308044243667006,5,1,Piano,head,same,No
6,0.5783917268475847,0.6686375542526742,2.734375,0.09477859368109211,0.06644022353335424,0.7494126691176471,-0.00021535539215699302,0.02846582742241558,-0.0029258443147761035,0.0024951335304621174,0.594185310556747,-3,1,Accordion,leg,same,No
7,-0.20092193103796313,0.4628627964777618,1.3671875,0.07319401559713794,0.010427658844755784,0.7494126691176471,-0.00021535539215699302,0.02846582742241558,-0.0029258443147761035,0.0024951335304621174,0.3939644718484105,29,1,Accordion,head,same,No
8,0.7803095755094777,0.9495717761461268,1.3671875,0.07112629139694683,0.017063340406102023,0.7490792034313726,0.0006029926470588013,0.0292215858087344,-0.0021794588678958676,0.00338544416201347,0.7884878787208943,2,1,Clarinet,leg,same,No
9,0.10187327974875425,0.20579280822856788,3.7109375,0.051325655969355156,0.005114004000156447,0.7490792034313726,0.0006029926470588013,0.0292215858087344,-0.0021794588678958676,0.00338544416201347,0.10340380842583621,2,1,Clarinet,head,same,No
