,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
0,0.07323315296392771,0.8152293305967495,1.3671875,1,Sax,head,same,No
1,0.188401223102963,0.956952201339877,1.3671875,1,Sax,leg,same,No
2,0.10561175424792275,0.7604369901288172,20.60546875,1,Accordion,head,same,No
3,0.07074197843249423,0.7463657760696943,2.63671875,1,Accordion,leg,same,No
4,0.07468315392224785,0.8224982265374238,8.10546875,1,Cello,head,same,No
5,0.19442493428918298,0.9343748771378293,1.3671875,1,Cello,leg,same,No
6,0.07781430888285949,0.6788263331178866,2.63671875,1,Piano,head,same,No
7,0.06026528484125611,0.686732790034908,2.63671875,1,Piano,leg,same,No
8,0.05191653706929489,0.6579610244345359,1.26953125,1,Drum,head,same,No
9,0.06357989258630166,0.8697899282337013,1.3671875,1,Drum,leg,same,No
10,0.03640351057685287,0.7992995814556798,17.578125,1,Clarinet,head,same,No
11,0.20603032717195624,0.9653247120853475,1.3671875,1,Clarinet,leg,same,No
12,0.05388597009977081,0.7264934189918207,43.359375,2,Sax,head,high,No
13,0.144798406105244,0.9170710309961018,0.68359375,2,Sax,leg,high,No
14,0.06259200063946956,0.7721503028192446,49.0234375,2,Accordion,head,high,No
15,0.05925170847906226,0.8763954762402246,4.4921875,2,Accordion,leg,high,No
16,0.04059124279066374,0.6821383071124604,20.01953125,2,Cello,head,high,No
17,0.03757748843408252,0.7205155931367201,19.7265625,2,Cello,leg,high,No
18,0.035158724926668675,0.6857409622899875,35.44921875,2,Piano,head,high,No
19,0.08645480836554649,0.9319100822137725,1.46484375,2,Piano,leg,high,No
20,0.028522114190027113,0.6994477323238195,45.80078125,2,Drum,head,high,No
21,0.028188566936892107,0.7402555427798391,25.1953125,2,Drum,leg,high,No
22,0.0285983523992025,0.6682786860772515,29.8828125,2,Clarinet,head,high,No
23,0.08267019229963267,0.9698773652011677,8.10546875,2,Clarinet,leg,high,No
24,,,0.0,3,Sax,head,low,Yes
25,,,0.0,3,Sax,leg,low,Yes
26,0.09800993998671917,0.7376787608460248,10.64453125,3,Accordion,head,low,Yes
27,0.16262621420199525,0.9643596218350983,0.68359375,3,Accordion,leg,low,Yes
