,onsets,musician,trial,factor1,factor2
0,0.345518,Clarinet,1,same,No
1,1.106104,Clarinet,1,same,No
2,1.825063,Clarinet,1,same,No
3,2.573313,Clarinet,1,same,No
4,3.320813,Clarinet,1,same,No
5,4.071104,Clarinet,1,same,No
6,4.859167,Clarinet,1,same,No
7,5.569083,Clarinet,1,same,No
8,6.302771,Clarinet,1,same,No
9,7.079104,Clarinet,1,same,No
10,7.845063,Clarinet,1,same,No
11,8.632,Clarinet,1,same,No
12,9.376437,Clarinet,1,same,No
13,10.098708,Clarinet,1,same,No
14,10.838354,Clarinet,1,same,No
15,11.591146,Clarinet,1,same,No
16,12.312542,Clarinet,1,same,No
17,13.068958,Clarinet,1,same,No
18,13.892104,Clarinet,1,same,No
19,14.606667,Clarinet,1,same,No
20,15.393875,Clarinet,1,same,No
21,16.136187,Clarinet,1,same,No
22,16.8885,Clarinet,1,same,No
23,17.671125,Clarinet,1,same,No
24,18.393438,Clarinet,1,same,No
25,19.093625,Clarinet,1,same,No
26,19.863333,Clarinet,1,same,No
27,20.627208,Clarinet,1,same,No
28,21.377021,Clarinet,1,same,No
29,22.152667,Clarinet,1,same,No
30,22.853604,Clarinet,1,same,No
31,23.632042,Clarinet,1,same,No
32,24.395688,Clarinet,1,same,No
33,25.129813,Clarinet,1,same,No
34,25.861042,Clarinet,1,same,No
35,26.605375,Clarinet,1,same,No
36,27.38325,Clarinet,1,same,No
37,28.143042,Clarinet,1,same,No
38,28.8435,Clarinet,1,same,No
39,29.558375,Clarinet,1,same,No
40,30.345083,Clarinet,1,same,No
41,31.059792,Clarinet,1,same,No
42,31.788688,Clarinet,1,same,No
43,32.588167,Clarinet,1,same,No
44,33.288896,Clarinet,1,same,No
45,34.025625,Clarinet,1,same,No
46,34.786104,Clarinet,1,same,No
47,35.555146,Clarinet,1,same,No
48,36.268396,Clarinet,1,same,No
49,37.009521,Clarinet,1,same,No
50,37.805833,Clarinet,1,same,No
51,38.540625,Clarinet,1,same,No
52,39.307375,Clarinet,1,same,No
53,40.014479,Clarinet,1,same,No
54,40.788167,Clarinet,1,same,No
55,41.532271,Clarinet,1,same,No
56,42.291292,Clarinet,1,same,No
57,43.017396,Clarinet,1,same,No
58,43.802875,Clarinet,1,same,No
59,0.346963,Accordion,1,same,No
60,1.092771,Accordion,1,same,No
61,1.814104,Accordion,1,same,No
62,2.557979,Accordion,1,same,No
63,3.328729,Accordion,1,same,No
64,4.075938,Accordion,1,same,No
65,4.823563,Accordion,1,same,No
66,5.581979,Accordion,1,same,No
67,6.340042,Accordion,1,same,No
68,7.0855,Accordion,1,same,No
69,7.817771,Accordion,1,same,No
70,8.623271,Accordion,1,same,No
71,9.371292,Accordion,1,same,No
72,10.074938,Accordion,1,same,No
73,10.861792,Accordion,1,same,No
74,11.57775,Accordion,1,same,No
75,12.335188,Accordion,1,same,No
76,13.121083,Accordion,1,same,No
77,13.8615,Accordion,1,same,No
78,14.665437,Accordion,1,same,No
79,15.374563,Accordion,1,same,No
80,16.13575,Accordion,1,same,No
81,16.877708,Accordion,1,same,No
82,17.649625,Accordion,1,same,No
83,18.415479,Accordion,1,same,No
84,19.149896,Accordion,1,same,No
85,19.919042,Accordion,1,same,No
86,20.664958,Accordion,1,same,No
87,21.383958,Accordion,1,same,No
88,22.158083,Accordion,1,same,No
89,22.909437,Accordion,1,same,No
90,23.663,Accordion,1,same,No
91,24.418292,Accordion,1,same,No
92,25.119125,Accordion,1,same,No
93,25.869979,Accordion,1,same,No
94,26.659708,Accordion,1,same,No
95,27.355208,Accordion,1,same,No
96,28.118271,Accordion,1,same,No
97,28.902938,Accordion,1,same,No
98,29.596229,Accordion,1,same,No
99,30.313646,Accordion,1,same,No
100,31.085292,Accordion,1,same,No
101,31.835167,Accordion,1,same,No
102,32.573813,Accordion,1,same,No
103,33.331063,Accordion,1,same,No
104,34.030771,Accordion,1,same,No
105,34.820896,Accordion,1,same,No
106,35.529979,Accordion,1,same,No
107,36.276167,Accordion,1,same,No
108,37.0675,Accordion,1,same,No
109,37.808937,Accordion,1,same,No
110,38.537854,Accordion,1,same,No
111,39.292854,Accordion,1,same,No
112,40.041208,Accordion,1,same,No
113,40.821083,Accordion,1,same,No
114,41.567687,Accordion,1,same,No
115,42.280771,Accordion,1,same,No
116,43.049896,Accordion,1,same,No
117,43.791042,Accordion,1,same,No
118,0.324636,Piano,1,same,No
119,1.037958,Piano,1,same,No
120,1.812479,Piano,1,same,No
121,2.576042,Piano,1,same,No
122,3.337667,Piano,1,same,No
123,4.084937,Piano,1,same,No
124,4.820042,Piano,1,same,No
125,5.582792,Piano,1,same,No
126,6.330667,Piano,1,same,No
127,7.109146,Piano,1,same,No
128,7.845729,Piano,1,same,No
129,8.61725,Piano,1,same,No
130,9.35475,Piano,1,same,No
131,10.122042,Piano,1,same,No
132,10.899417,Piano,1,same,No
133,11.658063,Piano,1,same,No
134,12.372563,Piano,1,same,No
135,13.124542,Piano,1,same,No
136,13.874104,Piano,1,same,No
137,14.682063,Piano,1,same,No
138,15.390521,Piano,1,same,No
139,16.158063,Piano,1,same,No
140,16.923354,Piano,1,same,No
141,17.639771,Piano,1,same,No
142,18.40075,Piano,1,same,No
143,19.140438,Piano,1,same,No
144,19.893625,Piano,1,same,No
145,20.687479,Piano,1,same,No
146,21.41425,Piano,1,same,No
147,22.143042,Piano,1,same,No
148,22.904062,Piano,1,same,No
149,23.650583,Piano,1,same,No
150,24.408896,Piano,1,same,No
151,25.121479,Piano,1,same,No
152,25.897146,Piano,1,same,No
153,26.659792,Piano,1,same,No
154,27.399083,Piano,1,same,No
155,28.134021,Piano,1,same,No
156,28.893188,Piano,1,same,No
157,29.616187,Piano,1,same,No
158,30.359562,Piano,1,same,No
159,31.104937,Piano,1,same,No
160,31.832229,Piano,1,same,No
161,32.561521,Piano,1,same,No
162,33.314667,Piano,1,same,No
163,34.052854,Piano,1,same,No
164,34.808104,Piano,1,same,No
165,35.536792,Piano,1,same,No
166,36.270771,Piano,1,same,No
